Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-05,7.145876884460449,6.57450008392334,14.172405242919922,,21.926774978637695,7.146476158266866,6.686999797821045,14.268457001165416,,22.046634240542527,7.0344143567626265,6.539000034332275,14.122516025897188,,21.746986085780446,7.040707131779269,6.642499923706055,14.16967455433248,,21.821897052844633,684507600,116330000,75983940,,34331200
2010-04-06,7.177339553833008,6.7779998779296875,14.103157043457031,,21.964221954345703,7.198313340449884,6.800000190734863,14.169426607960368,,22.158993536705214,7.101233367948217,6.559000015258789,14.033164586615582,,21.70952076424746,7.137189002219058,6.561500072479248,14.133933331794807,,21.83687135929658,447017200,159006000,82321596,,47366800
2010-04-07,7.20910120010376,6.743500232696533,13.987001419067383,,21.986703872680664,7.248652482910204,6.803999900817871,14.11631235053344,,22.14401861284501,7.150972423811529,6.692999839782715,13.945304264424081,,21.82938770368126,7.177639716023995,6.797999858856201,14.08032438801034,,21.844370468125977,628502000,118908000,103136760,,58318800
2010-04-08,7.189621448516846,7.047999858856201,14.085037231445312,,22.4137020111084,7.237262505219818,7.0625,14.14361319272003,,22.45864887431124,7.132392013076664,6.735499858856201,13.900377622543775,,21.949246328562296,7.204303253409019,6.735499858856201,13.981538750756725,,21.964229092574918,572989200,253782000,77822100,,63713800
2010-04-09,7.244755268096924,7.002999782562256,14.05351734161377,,22.728330612182617,7.247752437478197,7.066500186920166,14.116807456356142,,22.780768852087537,7.204904756785378,6.953499794006348,13.998416454875516,,22.398716981421135,7.233969138777934,7.035999774932861,14.085038018818341,,22.436173887663845,334182800,120222000,82181736,,54752500
2010-04-12,7.259736061096191,7.059999942779541,14.215096473693848,,22.713348388671875,7.28310693801118,7.145500183105469,14.246616207826325,,22.840699015249367,7.245353490626359,6.984000205993652,14.05351858320505,,22.63094462181735,7.257038929083853,7.0,14.081565130933301,,22.6609101475226,333026400,108906000,94001904,,37068800
2010-04-13,7.2639312744140625,7.007999897003174,14.563567161560059,,22.81073570251465,7.2750182408748705,7.098999977111816,14.61593736437791,,22.848191182098862,7.224379999747313,6.955999851226807,14.175384667212167,,22.57101577513684,7.246853169549665,7.061500072479248,14.210131664949426,,22.585998538504505,306210800,95710000,156335508,,41374600
2010-04-14,7.36160945892334,7.214000225067139,14.618914604187012,,23.087907791137695,7.365205101178037,7.224999904632568,14.701812330109563,,23.22274979274138,7.313069888681743,6.960000038146973,14.495063171328429,,22.968048551675494,7.349324747935662,7.017000198364258,14.64522266471449,,23.065435076760306,404076400,158006000,135971892,,68941200
2010-04-15,7.458392143249512,7.290999889373779,14.775279998779297,,23.1253604888916,7.461687749475583,7.354499816894531,14.838323249607434,,23.185290097718664,7.356217948959215,7.199999809265137,14.60129341447826,,23.005499842402898,7.364307746131297,7.227499961853027,14.697593938041923,,23.087903590353076,376784800,156592000,270201528,,52745400
2010-04-16,7.41284704208374,7.108500003814697,13.654662132263184,,22.975540161132812,7.524908838714239,7.358500003814697,14.117799969029996,,23.207767261294904,7.327452528629698,7.072500228881836,13.64175591621315,,22.923101921951197,7.447903358086634,7.24399995803833,13.973597478715591,,23.065435306040477,750545600,167936000,488930580,,88703100
